candidate_id,rank,score,reasoning
CAND_0081846,1,15.099953988383806,"Has 6.7 years of experience, squarely in the JD's ideal 6-8 year range. Currently working as Lead AI Engineer at Razorpay. Has 3 third-party-verified skill assessments, not just self-claimed proficiency. One honest concern: claims several high-proficiency skills with no verified assessment backing them."
CAND_0069905,2,14.586718005535168,"Has 6.6 years of experience, squarely in the JD's ideal 6-8 year range. Currently working as Applied ML Engineer at Sarvam AI. Has 1 third-party-verified skill assessments, not just self-claimed proficiency. One honest concern: claims several high-proficiency skills with no verified assessment backing them."
CAND_0050454,3,14.302027209242283,"Has 6.8 years of experience, squarely in the JD's ideal 6-8 year range. Currently working as AI Engineer at Rephrase.ai. Has 1 third-party-verified skill assessments, not just self-claimed proficiency. One honest concern: claims several high-proficiency skills with no verified assessment backing them."
CAND_0027801,4,14.301509766800095,"Has 7.4 years of experience, squarely in the JD's ideal 6-8 year range. Currently working as NLP Engineer at InMobi. Has 2 third-party-verified skill assessments, not just self-claimed proficiency. Shows active GitHub engagement (activity score 63). One honest concern: claims several high-proficiency skills with no verified assessment backing them."
CAND_0086151,5,14.098573828666266,"Has 7.7 years of experience, squarely in the JD's ideal 6-8 year range. Currently working as Recommendation Systems Engineer at Wysa. Has 3 third-party-verified skill assessments, not just self-claimed proficiency. Shows active GitHub engagement (activity score 52). One honest concern: claims several high-proficiency skills with no verified assessment backing them."
CAND_0061265,6,14.044274377141143,"Has 6.6 years of experience, squarely in the JD's ideal 6-8 year range. Currently working as Recommendation Systems Engineer at Zoho. Has 2 third-party-verified skill assessments, not just self-claimed proficiency. Shows active GitHub engagement (activity score 80). One honest concern: claims several high-proficiency skills with no verified assessment backing them."
CAND_0030827,7,13.968214430270814,Has 5.4 years of experience. Currently working as Senior Data Scientist at Freshworks. Shows active GitHub engagement (activity score 52). One honest concern: claims several high-proficiency skills with no verified assessment backing them.
CAND_0057563,8,13.96699856438035,"Has 6.8 years of experience, squarely in the JD's ideal 6-8 year range. Currently working as NLP Engineer at Locobuzz. Has 1 third-party-verified skill assessments, not just self-claimed proficiency. One honest concern: claims several high-proficiency skills with no verified assessment backing them."
CAND_0094056,9,13.826024286672219,Has 5.9 years of experience. Currently working as NLP Engineer at Rephrase.ai. Shows active GitHub engagement (activity score 65). One honest concern: claims several high-proficiency skills with no verified assessment backing them.
CAND_0018722,10,13.74370054186014,"Has 6.6 years of experience, squarely in the JD's ideal 6-8 year range. Currently working as Recommendation Systems Engineer at Saarthi.ai. Shows active GitHub engagement (activity score 94). One honest concern: claims several high-proficiency skills with no verified assessment backing them."
